Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
5p,2P,1/2,5s,2S,1/2,794.9789,0.0006,794.9789(6),4.231,0.003,4.231(3),36095788.60729613,51187.664310633794,3.6096(51)E+07,1,0,1.0,,U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996), DOI: https://doi.org/10.1088/0031-8949/1996/T65/007
5p,2P,3/2,5s,2S,1/2,780.2415,0.0006,780.2415(6),5.978,0.005,5.978(5),38109393.50397687,63749.46427737124,3.8109(64)E+07,1,0,1.0,,U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996), DOI: https://doi.org/10.1088/0031-8949/1996/T65/007
6p,2P,1/2,5s,2S,1/2,421.6726,0.0003,421.6726(3),0.3235,0.0009,0.3235(9),1414033.5647477026,7867.884401247936,1.4140(79)E+06,0.17358834102464069,0.005014304996744663,0.1736(50),,C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012), DOI:	https://doi.org/10.1103/PhysRevLett.109.243003
6p,2P,3/2,5s,2S,1/2,420.2989,0.0002,420.2989(2),0.523,0.0008,0.5230(8),1866104.2867975873,5708.923869875569,1.8661(57)E+06,0.21122633138651886,0.00509649429515887,0.2112(51),,C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012), DOI:	https://doi.org/10.1103/PhysRevLett.109.243003
7p,2P,1/2,5s,2S,1/2,359.2597,0.0002,359.2597(2),0.1154299,0.0080606,0.1154(81),291104.2615612426,40656.2772887843,2.91(41)E+05,0.08078875176589831,0.010590017011849185,0.081(11),,
7p,2P,3/2,5s,2S,1/2,358.8073,0.0002,358.8073(2),0.2023142,0.0105247,0.202(11),448824.0251103557,46697.05060434781,4.49(47)E+05,0.11449113241063694,0.010837366498431282,0.114(11),,
8p,2P,1/2,5s,2S,1/2,335.1775,0.0002,335.1775(2),0.0598359,0.0056525,0.0598(57),96324.43562012038,18198.903078826235,9.6(18)E+04,0.0486132834104011,0.008778150614125057,0.0486(88),,
8p,2P,3/2,5s,2S,1/2,334.9658,0.0002,334.9658(2),0.1109939,0.0073876,0.1110(74),166036.64883134575,22102.33800267398,1.66(22)E+05,0.07760013321969488,0.009589947772800625,0.0776(96),,
9p,2P,1/2,5s,2S,1/2,323.0088,0.0001,323.0088(1),0.0376028,0.0043066,0.0376(43),42504.4759414612,9735.96519892144,4.25(97)E+04,0.0348456119900492,0.007717092234933629,0.0348(77),,
9p,2P,3/2,5s,2S,1/2,322.8911,0.0001,322.8911(1),0.0726511,0.0056406,0.0727(56),79418.79867116881,12332.082399099638,7.9(12)E+04,0.06054776372716253,0.008855327246271538,0.0605(89),,
