Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
5s.4d,3D,1,5s.5p,3P,0,2603.13,0,2603.127(2),2.685,0.003,2.685(3),276024.9482700006,616.8155268603365,2.7602(62)E+05,0.5952256750180396,0.000800923598490616,0.59523(80),,
5s.4d,3D,1,5s.5p,3P,1,2736.2,0,2736.198(3),2.331,0.003,2.331(3),179138.08941650952,461.1019032599988,1.7914(46)E+05,0.3862969302690835,0.0007980842182376797,0.38630(80),,
5s.4d,3D,1,5s.5p,3P,2,3067.02,0,3067.019(5),0.605,0.001,0.605(1),8568.551616379204,28.32579046736927,8.569(28)E+03,0.018477394712876887,0.00006735001099323434,0.018477(67),,
5s.5p,1P,1,5s.4d,3D,1,2825.328,0.004,2825.328(4),0.06228,0.015,0.062(15),116.154654414237,55.951182282635976,1.16(56)E+02,6.079679419765947e-7,2.9285674386244157e-7,0.00000061(29),,
4d.5p,3F,2,5s.4d,3D,1,661.909,0,661.9093(2),4.04503,0.05825,4.045(58),22863642.767236054,658490.6372469426,2.286(66)E+07,0.6122104898424225,0.02163950905185785,0.612(22),,
4d.5p,1D,2,5s.4d,3D,1,638.249,0,638.2493(2),2.07525,0.18037,2.08(18),6712234.355744651,1166785.4097054934,6.7(12)E+06,0.14295226704633904,0.021405756024059766,0.143(21),,
5s.6p,3P,0,5s.4d,3D,1,637.168,0,637.1679(3),1.0475,0.0158,1.048(16),8594362.59644184,259266.69026020257,8.59(26)E+06,0.5520224657346501,0.007946894231629129,0.5520(79),,
5s.6p,3P,1,5s.4d,3D,1,636.567,0,636.5665(3),0.81049,0.0337,0.810(34),1719926.812021164,143028.3743540654,1.72(14)E+06,0.11024826473849064,0.00855164505923719,0.1102(86),,
5s.6p,3P,2,5s.4d,3D,1,632.35,0,632.3501(2),0.14216,0.08735,0.142(87),32387.6468644876,39801.082633835,3.2(40)E+04,0.0019020646907874804,0.00234760554087297,<0.0042,,
5s.6p,1P,1,5s.4d,3D,1,627.378,0,627.3776(3),0.33903,0.05574,0.339(56),314365.78864355735,103369.90271652589,3.1(10)E+05,0.02098035642912073,0.006832315366589401,0.0210(68),,
4d.5p,3D,1,5s.4d,3D,1,552.33,0,552.3302(3),3.63276,0.01801,3.633(18),52896025.52389017,524481.3418366542,5.290(52)E+07,0.7077840445262357,0.007122285378399633,0.7078(71),,
